"Status","SourcePath","TestCaseId","PlanId","SuiteId"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\001-view-and-manage-magnet-system-type-documents-happy-path.md","293126","291616","292268"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\003-remove-document-from-magnet-system-type.md","293127","291616","292268"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\004-invalid-file-types-rejected-on-upload.md","293946","291616","292268"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\004-view-manage-magnet-system-type-documents-reject-invalid-upload.md","293806","291616","292268"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\005-upload-remove-not-available-without-permission.md","293947","291616","292268"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\005-view-manage-magnet-system-type-documents-permission-boundaries.md","293807","291616","292268"
