"SourcePath","Status","TestCaseId","PlanId","SuiteId","Error"
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-226385\003-copy-module-real-to-abstract-conversion.md","Updated","293885","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-226385\004-copy-module-abstract-to-real-validations-and-security.md","Failed",,,,"The remote server returned an error: (400) Bad Request."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-264374\001-import-hardware-components-valid-file-happy-path.md","Updated","293460","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-264374\002-import-hardware-components-invalid-file-negative.md","Updated","293886","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-264374\003-import-hardware-components-updates-linked-magnet-type-metadata.md","Updated","293887","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\001-magnet-system-types-list-happy-path.md","Updated","293115","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\002-magnet-system-types-list-permission-denied-negative.md","Updated","293888","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\003-create-magnet-system-type-happy-path.md","Updated","293889","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\003-list-not-accessible-without-view-permission.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Types: Verify the Magnet System Types list is not accessible without view permission (Security)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\004-create-new-magnet-system-type-from-list.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Types: Verify tester can create a new Magnet System Type from the list page (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\004-edit-magnet-system-type-happy-path.md","Updated","293468","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\005-define-prototype-as-standard-happy-path.md","Updated","293890","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\005-edit-magnet-system-type-from-list.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Types: Verify tester can navigate to edit a Magnet System Type from the list page (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\006-promote-prototype-to-standard-from-list.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Types: Verify tester can promote a Prototype Magnet System Type to Standard from the list page (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\001-new-magnet-system-type-happy-path.md","Updated","293470","291616","291678",
