"Status","SourcePath","TestCaseId","PlanId","SuiteId"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290765\001-new-magnet-system-happy-path.md","293138","291616","292272"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290765\002-new-magnet-system-duplicate-serial-negative.md","293903","291616","292272"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290765\003-duplicate-serial-number-rejected.md","293956","291616","292272"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290765\003-new-magnet-system-required-field-validation.md","293904","291616","292272"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290765\004-required-fields-enforced-on-new-magnet-system.md","293957","291616","292272"
