"Status","SourcePath","TestCaseId","PlanId","SuiteId"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\001-magnet-system-types-list-happy-path.md","293115","291616","292263"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\002-magnet-system-types-list-permission-denied-negative.md","293888","291616","292263"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\003-create-magnet-system-type-happy-path.md","293889","291616","292263"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\004-edit-magnet-system-type-happy-path.md","293468","291616","292263"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290756\006-promote-prototype-to-standard-from-list.md","293944","291616","292263"
