"Status","SourcePath","TestCaseId","PlanId","SuiteId"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\001-define-magnet-system-type-as-standard-happy-path.md","293130","291616","292270"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\002-define-magnet-system-type-as-standard-uniqueness-validation.md","293899","291616","292270"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\003-standard-to-prototype-happy-path.md","293900","291616","292270"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\004-prototype-to-prototype-variant-increment.md","293901","291616","292270"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\005-promote-prototype-propagates-to-existing-magnet-systems.md","293134","291616","292270"
"Updated","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\006-article-number-uniqueness-validation.md","293817","291616","292270"
