"Status","SourcePath","TestCaseId","PlanId","SuiteId"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290759\001-view-magnet-system-type-happy-path.md","293891","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290759\002-view-magnet-system-type-prevent-edit-without-edit-premission.md","293892","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\001-edit-magnet-system-type-happy-path.md","293893","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\002-edit-magnet-system-type-prototype-readonly-fields.md","293894","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\003-edit-magnet-system-type-cancel-with-unsaved-changes.md","293895","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\004-edit-magnet-system-type-back-button-behavior.md","293896","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\005-edit-magnet-system-type-save-button-availability.md","293897","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\006-edit-magnet-system-type-prevent-access-without-edit-permission.md","293898","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\002-define-magnet-system-type-as-standard-uniqueness-validation.md","293899","291616","291678"
"Created","C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\003-standard-to-prototype-happy-path.md","293900","291616","291678"
